Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2018,2018,C,2.12,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2019,2019,C,3.187,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2020,2020,C,-0.472,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1961,1961,C,-1.792,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1962,1962,C,2.397,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1963,1963,C,3.863,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1964,1964,C,-0.251,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1965,1965,C,-0.14,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1966,1966,C,3.397,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1967,1967,C,0.293,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1968,1968,C,-2.059,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1969,1969,C,-3.166,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1970,1970,C,1.809,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1971,1971,C,0.854,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1972,1972,C,-7.724,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1973,1973,C,1.837,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1974,1974,C,-3.708,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1975,1975,C,-1.223,Fc,Calculated data
